seed,transition,partition,class_id,selected_pixels,correct_selected_pixels,true_pixels,precision,coverage,boundary_correct,boundary_true,boundary_coverage,interior_correct,interior_true,interior_coverage,hidden_gt_usage
0,REFUGE->RIM_ONE_r3,plastic,0,37394,33262,1045596,0.8895009894635503,0.03181152184973929,0,0,nan,0,0,nan,post_hoc_only
0,REFUGE->RIM_ONE_r3,plastic,1,33160,23768,81206,0.716767189384801,0.292687732433564,2950,14244,0.2071047458579051,20818,66962,0.3108927451390341,post_hoc_only
0,REFUGE->RIM_ONE_r3,plastic,2,1682,1172,34414,0.6967895362663495,0.034055907479514154,112,4732,0.023668639053254437,1060,29682,0.03571187925341958,post_hoc_only
0,REFUGE->RIM_ONE_r3,rejected,0,10252,8046,1045596,0.7848224736636754,0.007695132728128264,0,0,nan,0,0,nan,post_hoc_only
0,REFUGE->RIM_ONE_r3,rejected,1,18246,10090,81206,0.5529979173517483,0.1242519025687757,1978,14244,0.13886548722269026,8112,66962,0.12114333502583555,post_hoc_only
0,REFUGE->RIM_ONE_r3,rejected,2,7228,5248,34414,0.7260653016048699,0.1524960771778927,514,4732,0.10862214708368555,4734,29682,0.15949060036385687,post_hoc_only
0,REFUGE->RIM_ONE_r3,stable,0,997480,988008,1045596,0.9905040702570478,0.9449232782068792,0,0,nan,0,0,nan,post_hoc_only
0,REFUGE->RIM_ONE_r3,stable,1,37832,28114,81206,0.7431275111017128,0.3462059453734946,3302,14244,0.2318169053636619,24812,66962,0.3705385143812909,post_hoc_only
0,REFUGE->RIM_ONE_r3,stable,2,17942,15024,34414,0.8373648422695351,0.43656651362817456,1152,4732,0.24344885883347422,13872,29682,0.46735395189003437,post_hoc_only
0,RIM_ONE_r3->Drishti_GS,plastic,0,5229,3301,935427,0.6312870529738,0.0035288697033547247,0,0,nan,0,0,nan,post_hoc_only
0,RIM_ONE_r3->Drishti_GS,plastic,1,38945,26835,102475,0.68904865836436,0.2618687484752379,3158,20016,0.15777378097521982,23677,82459,0.2871366376017172,post_hoc_only
0,RIM_ONE_r3->Drishti_GS,plastic,2,33731,30502,86450,0.9042720346269011,0.35282822440717176,1372,7795,0.17601026298909558,29130,78655,0.3703515351853029,post_hoc_only
0,RIM_ONE_r3->Drishti_GS,rejected,0,3341,1140,935427,0.3412152050284346,0.0012186947778928768,0,0,nan,0,0,nan,post_hoc_only
0,RIM_ONE_r3->Drishti_GS,rejected,1,23764,15089,102475,0.6349520282780676,0.14724566967553063,3027,20016,0.15122901678657075,12062,82459,0.1462787567154586,post_hoc_only
0,RIM_ONE_r3->Drishti_GS,rejected,2,21686,17428,86450,0.8036521257954441,0.2015962984384037,1174,7795,0.1506093649775497,16254,78655,0.20664929120844194,post_hoc_only
0,RIM_ONE_r3->Drishti_GS,stable,0,958430,922444,935427,0.9624531786358941,0.9861207769286112,0,0,nan,0,0,nan,post_hoc_only
0,RIM_ONE_r3->Drishti_GS,stable,1,32692,22135,102475,0.6770769607243362,0.216003903391071,2421,20016,0.12095323741007194,19714,82459,0.23907638947840745,post_hoc_only
0,RIM_ONE_r3->Drishti_GS,stable,2,6534,6363,86450,0.9738292011019284,0.07360323886639676,42,7795,0.005388069275176395,6321,78655,0.08036361324772742,post_hoc_only
